"yr","date","Latitude","Longitude","pyro","doy","pyrocat","subsegment"
2012,2012-12-19,28.02,-82.675,NA,354,NA,"NW"
2012,2012-12-19,27.972,-82.673,NA,354,NA,"NW"
2012,2012-12-19,27.98,-82.62,NA,354,NA,"NE"
2012,2012-12-19,27.942,-82.577,NA,354,NA,"CE"
2012,2012-12-19,27.957,-82.622,NA,354,NA,"CE"
2012,2012-12-19,27.942,-82.675,NA,354,NA,"CW"
2012,2012-12-19,27.9055,-82.6046,NA,354,NA,"SW"
2012,2012-12-19,27.9244,-82.5496,NA,354,NA,"SE"
2012,2012-12-19,27.86111,-82.58911,NA,354,NA,"SW"
2013,2013-01-10,28.02,-82.675,NA,10,NA,"NW"
2013,2013-01-10,27.972,-82.673,NA,10,NA,"NW"
2013,2013-01-10,27.98,-82.62,NA,10,NA,"NE"
2013,2013-01-10,27.942,-82.577,NA,10,NA,"CE"
2013,2013-01-10,27.957,-82.622,NA,10,NA,"CE"
2013,2013-01-10,27.942,-82.675,NA,10,NA,"CW"
2013,2013-01-10,27.9055,-82.6046,NA,10,NA,"SW"
2013,2013-01-10,27.9244,-82.5496,NA,10,NA,"SE"
2013,2013-01-10,27.86111,-82.58911,NA,10,NA,"SW"
2013,2013-01-24,28.02,-82.675,NA,24,NA,"NW"
2013,2013-01-24,27.972,-82.673,NA,24,NA,"NW"
2013,2013-01-24,27.98,-82.62,NA,24,NA,"NE"
2013,2013-01-24,27.942,-82.577,NA,24,NA,"CE"
2013,2013-01-24,27.957,-82.622,NA,24,NA,"CE"
2013,2013-01-24,27.942,-82.675,NA,24,NA,"CW"
2013,2013-01-24,27.9055,-82.6046,NA,24,NA,"SW"
2013,2013-01-24,27.9244,-82.5496,NA,24,NA,"SE"
2013,2013-01-24,27.86111,-82.58911,NA,24,NA,"SW"
2013,2013-02-15,28.02,-82.675,NA,46,NA,"NW"
2013,2013-02-15,27.972,-82.673,NA,46,NA,"NW"
2013,2013-02-15,27.98,-82.62,NA,46,NA,"NE"
2013,2013-02-15,27.942,-82.577,NA,46,NA,"CE"
2013,2013-02-15,27.957,-82.622,NA,46,NA,"CE"
2013,2013-02-15,27.942,-82.675,NA,46,NA,"CW"
2013,2013-02-15,27.9055,-82.6046,NA,46,NA,"SW"
2013,2013-02-15,27.9244,-82.5496,NA,46,NA,"SE"
2013,2013-02-15,27.86111,-82.58911,NA,46,NA,"SW"
2013,2013-02-28,28.02,-82.675,NA,59,NA,"NW"
2013,2013-02-28,27.972,-82.673,NA,59,NA,"NW"
2013,2013-02-28,27.98,-82.62,333,59,"No bloom","NE"
2013,2013-02-28,27.942,-82.577,NA,59,NA,"CE"
2013,2013-02-28,27.957,-82.622,NA,59,NA,"CE"
2013,2013-02-28,27.942,-82.675,1000,59,"No bloom","CW"
2013,2013-02-28,27.9055,-82.6046,333,59,"No bloom","SW"
2013,2013-02-28,27.9244,-82.5496,NA,59,NA,"SE"
2013,2013-02-28,27.86111,-82.58911,NA,59,NA,"SW"
2013,2013-03-15,28.02,-82.675,NA,74,NA,"NW"
2013,2013-03-15,27.972,-82.673,NA,74,NA,"NW"
2013,2013-03-15,27.98,-82.62,667,74,"No bloom","NE"
2013,2013-03-15,27.942,-82.577,NA,74,NA,"CE"
2013,2013-03-15,27.957,-82.622,NA,74,NA,"CE"
2013,2013-03-15,27.942,-82.675,NA,74,NA,"CW"
2013,2013-03-15,27.9055,-82.6046,667,74,"No bloom","SW"
2013,2013-03-15,27.9244,-82.5496,NA,74,NA,"SE"
