BAY_SEG,MAJOR_BASIN,BASIN,YEAR,MONTH,SOURCE,h2oload (m3/month),tnload (kg/month),tpload (kg/month),BODLOAD (kg/month),tssload (kg/month)
1,Coastal OTB,LTARPON,2001,4,NPS,164239.05,236.4231399,40.83444986,808.733653,3730.805518
1,Coastal OTB,LTARPON,2001,5,NPS,0,0,0,0,0
1,Coastal OTB,LTARPON,2001,6,NPS,190145.436,210.9295586,47.27550648,936.2999424,4319.287294
1,Coastal OTB,LTARPON,2001,7,NPS,12391401.48,12731.5549,3162.181576,64257.51907,302059.9436
1,Coastal OTB,LTARPON,2001,8,NPS,5257888.769,6084.0563,1341.76905,27265.59125,128169.3267
1,Coastal OTB,LTARPON,2001,9,NPS,11830938.27,13381.03986,3019.156073,61351.15086,288397.7694
1,Coastal OTB,LTARPON,2001,10,NPS,4136760.826,4188.275928,1055.666616,21451.80979,100840.0659
1,Coastal OTB,LTARPON,2001,11,NPS,587541.96,474.6255536,146.0794659,2893.1302,13346.42879
1,Coastal OTB,LTARPON,2001,12,NPS,0,0,0,0,0
1,Coastal OTB,LTARPON,2002,1,NPS,27517.788,31.3894692,6.841696505,135.5010347,625.0859056
1,Coastal OTB,LTARPON,2002,2,NPS,4694917.119,4367.146279,1167.288521,23118.35993,106648.3439
1,Coastal OTB,LTARPON,2002,3,NPS,873899.6911,942.0356229,217.2760566,4303.191534,19851.24603
1,Coastal OTB,LTARPON,2002,4,NPS,34409.6304,37.71190443,8.555202477,169.4373299,781.6389522
1,Coastal OTB,LTARPON,2002,5,NPS,0,0,0,0,0
1,Coastal OTB,LTARPON,2002,6,NPS,207994.812,197.9670017,51.71336368,1024.192505,4724.748421
1,Coastal OTB,LTARPON,2002,7,NPS,13324655.15,14235.11568,3400.340072,69097.04955,324809.4727
1,Coastal OTB,LTARPON,2002,8,NPS,13226291.65,13850.80865,3375.238534,68586.9705,322411.7075
1,Coastal OTB,LTARPON,2002,9,NPS,8161131.36,8775.638124,2082.652173,42320.80243,198940.4412
1,Coastal OTB,LTARPON,2002,10,NPS,6647932.916,7998.966106,1696.49664,34473.87906,162053.8439
1,Coastal OTB,LTARPON,2002,11,NPS,4722647.4,4318.32356,1174.183049,23254.90731,107278.2568
1,Coastal OTB,LTARPON,2002,12,NPS,22947484.06,20046.03306,5705.390329,112996.2857,521268.2377
1,Coastal OTB,LTARPON,2003,1,NPS,8522837.129,11816.40322,2119.017161,41967.5175,193602.2388
1,Coastal OTB,LTARPON,2003,2,NPS,6034523.413,5770.037589,1500.352345,29714.7491,137078.4429
1,Coastal OTB,LTARPON,2003,3,NPS,4649474.555,5166.862598,1155.99022,22894.59505,105616.0841
1,Coastal OTB,LTARPON,2003,4,NPS,2076973.224,2171.132532,516.3939939,10227.27629,47179.90736
1,Coastal OTB,LTARPON,2003,5,NPS,1757107.928,1851.362328,436.8664796,8652.219513,39913.94222
1,Coastal OTB,LTARPON,2003,6,NPS,12996428.16,13634.01173,3231.277786,63996.04003,295223.0049
1,Coastal OTB,LTARPON,2003,7,NPS,13610149.2,15306.45885,3473.195756,70577.52288,331768.8403
1,Coastal OTB,LTARPON,2003,8,NPS,20878491.88,21562.41136,5328.015757,108268.6322,508946.1501
1,Coastal OTB,LTARPON,2003,9,NPS,9968380.68,10443.23102,2543.847019,51692.57186,242994.9921
1,Coastal OTB,LTARPON,2003,10,NPS,3425928.619,4040.402207,874.2682073,17765.68001,83512.41035
1,Coastal OTB,LTARPON,2003,11,NPS,1010225.1,858.5198008,251.1703897,4974.474922,22947.97356
1,Coastal OTB,LTARPON,2003,12,NPS,868477.7032,701.569826,109.887649,4276.492987,19728.08176
1,Coastal OTB,LTARPON,2004,1,NPS,4084004.404,3772.254234,1026.908072,20642.64154,95584.18548
1,Coastal OTB,LTARPON,2004,2,NPS,8021960.938,7590.022048,2017.092937,40547.08265,187750.1899
1,Coastal OTB,LTARPON,2004,3,NPS,5023735.665,4317.482649,1263.200084,25392.5227,117578.1498
1,Coastal OTB,LTARPON,2004,4,NPS,2974152.276,2915.12109,747.8397859,15032.88274,69608.62298
1,Coastal OTB,LTARPON,2004,5,NPS,1413003.627,1328.012596,355.2946291,7142.041114,33070.6795
1,Coastal OTB,LTARPON,2004,6,NPS,56448.6516,60.38419406,14.19380839,285.3202801,1321.153909
1,Coastal OTB,LTARPON,2004,7,NPS,14729093.95,15370.78746,3799.718074,78385.61826,369911.8713
1,Coastal OTB,LTARPON,2004,8,NPS,18242662.05,18405.20947,4706.126048,97084.20273,458152.9099
1,Coastal OTB,LTARPON,2004,9,NPS,32286794.2,30877.58324,8329.142027,171824.5761,810862.399
1,Coastal OTB,LTARPON,2004,10,NPS,5444971.342,5222.38318,1404.659111,28977.16902,136747.0086
1,Coastal OTB,LTARPON,2004,11,NPS,5307710.28,5252.226635,1334.604469,26827.87526,124224.4409
1,Coastal OTB,LTARPON,2004,12,NPS,6230487.832,5230.18291,1566.633533,31492.06373,145821.6118
1,Coastal OTB,LTARPON,2005,1,NPS,8346502.568,7175.152141,2098.697751,42187.4816,195345.9327
1,Coastal OTB,LTARPON,2005,2,NPS,7099908.043,6578.287112,1785.246086,35886.55697,166169.9793
1,Coastal OTB,LTARPON,2005,3,NPS,9536460.968,8559.211831,2397.908468,48202.13836,223196.3445
1,Coastal OTB,LTARPON,2005,4,NPS,3807866.88,4483.79541,957.4742945,19246.90163,89121.31774
1,Coastal OTB,LTARPON,2005,5,NPS,7005400.258,8333.45414,1761.482447,35408.86641,163958.0694
1,Coastal OTB,LTARPON,2005,6,NPS,14552199.6,13072.47612,3659.097727,73554.23997,340587.3276
1,Coastal OTB,LTARPON,2005,7,NPS,15633558.3,15093.47469,4033.04604,83199.01665,392626.9208
1,Coastal OTB,LTARPON,2005,8,NPS,2947090.319,2653.994964,760.2716356,15683.8905,74014.30787
1,Coastal OTB,LTARPON,2005,9,NPS,14006.802,15.48788938,3.613385785,74.54170895,351.771966
1,Coastal OTB,LTARPON,2005,10,NPS,819823.759,800.0364221,211.4929245,4362.956229,20589.35477
1,Coastal OTB,LTARPON,2005,11,NPS,214266.8844,190.7520994,53.87662974,1083.014133,5014.814774
1,Coastal OTB,LTARPON,2005,12,NPS,811114.9908,775.7735169,203.951918,4099.78892,18983.76154
1,Coastal OTB,LTARPON,2006,1,NPS,762197.1445,720.919561,191.6517032,3852.533171,17838.86255
1,Coastal OTB,LTARPON,2006,2,NPS,4686868.963,4532.322093,1178.496175,23689.82655,109693.9445
1,Coastal OTB,LTARPON,2006,3,NPS,43351.91187,48.05100355,10.90068076,219.1226768,1014.63093
1,Coastal OTB,LTARPON,2006,4,NPS,0,0,0,0,0
1,Coastal OTB,LTARPON,2006,5,NPS,0,0,0,0,0
1,Coastal OTB,LTARPON,2006,6,NPS,0,0,0,0,0
1,Coastal OTB,LTARPON,2006,7,NPS,143.9465806,0.156137528,0.037134424,0.766058099,3.615127256
1,Coastal OTB,LTARPON,2006,8,NPS,6010585.439,6513.341094,1550.572642,31987.26665,150952.0487
1,Coastal OTB,LTARPON,2006,9,NPS,21139487.02,20965.45195,5453.430549,112500.59,530904.8354
1,Coastal OTB,LTARPON,2006,10,NPS,1053257.131,992.3176975,271.7125825,5605.247113,26451.88613
1,Coastal OTB,LTARPON,2006,11,NPS,824219.7276,745.4317324,207.2470564,4166.026944,19290.47169
1,Coastal OTB,LTARPON,2006,12,NPS,2948313.865,2532.397684,741.3428112,14902.28223,69003.88722
1,Coastal OTB,LTARPON,2007,1,NPS,4218594.457,4880.544435,1060.750252,21322.92832,98734.20181
1,Coastal OTB,LTARPON,2007,2,NPS,2055892.19,1882.165571,516.946623,10391.52786,48117.18132
1,Coastal OTB,LTARPON,2007,3,NPS,0,0,0,0,0
1,Coastal OTB,LTARPON,2007,4,NPS,495.816,0.504344557,0.124671132,2.506106984,11.60433825
1,Coastal OTB,LTARPON,2007,5,NPS,0,0,0,0,0
1,Coastal OTB,LTARPON,2007,6,NPS,50622.8136,50.30682585,12.72892259,255.873523,1184.802935
1,Coastal OTB,LTARPON,2007,7,NPS,133750.3645,148.4133866,34.50406923,711.7956507,3359.055742
1,Coastal OTB,LTARPON,2007,8,NPS,10034756.05,9936.815044,2588.702608,53403.18687,252016.5462
1,Coastal OTB,LTARPON,2007,9,NPS,690795.642,787.2494138,178.2070706,3676.29154,17348.89528
1,Coastal OTB,LTARPON,2007,10,NPS,2981691.029,2950.399548,769.1977071,15868.02933,74883.28282
1,Coastal OTB,LTARPON,2007,11,NPS,1276766.321,1151.235041,321.0382534,6453.428275,29882.11
1,Coastal OTB,LTARPON,2007,12,NPS,1073699.721,1302.123618,269.9778946,5427.026095,25129.43258
1,Coastal OTB,LTARPON,2008,1,NPS,2847455.294,2596.58135,713.203979,14506.83009,67420.56203
1,Coastal OTB,LTARPON,2008,2,NPS,3471472.821,3383.235154,869.5020547,17685.99018,82195.72372
1,Coastal OTB,LTARPON,2008,3,NPS,2902059.03,2828.454952,726.8806123,14785.01782,68713.44083
1,Coastal OTB,LTARPON,2008,4,NPS,4843130.688,4517.172785,1213.062093,24674.12716,114673.1236
1,Coastal OTB,LTARPON,2008,5,NPS,0,0,0,0,0
1,Coastal OTB,LTARPON,2008,6,NPS,6371.2356,6.36336422,1.595807523,32.45930937,150.8547951
1,Coastal OTB,LTARPON,2008,7,NPS,18651590.29,19939.89507,4792.813402,100055.1458,473876.7775
