year,month,basin,BAY_SEG,source,majbasin,h2oload (m3/month),tnload (kg/month),tpload (kg/month),BODLOAD (kg/month),tssload (kg/month)
2018,9,LTARPON,1,NPS,Coastal OTB,13201613.91,13296.00633,3394.442776,71319.06889,337736.9787
2018,10,LTARPON,1,NPS,Coastal OTB,1014758.275,995.2231534,260.9180149,5482.027863,25960.56786
2018,11,LTARPON,1,NPS,Coastal OTB,251998.482,245.1061932,63.14105956,1293.095964,6009.51413
2018,12,LTARPON,1,NPS,Coastal OTB,10704393.89,9554.168212,2682.106521,54928.14252,255272.1977
2019,1,LTARPON,1,NPS,Coastal OTB,5575111.046,4992.545099,1396.906901,28607.92469,132952.0255
2019,2,LTARPON,1,NPS,Coastal OTB,5152944.857,4770.644195,1291.128405,26441.63626,122884.4503
2019,3,LTARPON,1,NPS,Coastal OTB,3278767.232,3212.019928,821.5320799,16824.54847,78190.14564
2019,4,LTARPON,1,NPS,Coastal OTB,83247.5064,78.59985568,20.85860089,427.1732659,1985.238411
2019,5,LTARPON,1,NPS,Coastal OTB,832011.2361,854.6138204,208.4697916,4269.35259,19841.32301
2019,6,LTARPON,1,NPS,Coastal OTB,11527226.18,10760.85372,2888.276426,59150.39464,274894.6267
2019,7,LTARPON,1,NPS,Coastal OTB,17520578.02,18170.3304,4504.949158,94651.40542,448229.0669
2019,8,LTARPON,1,NPS,Coastal OTB,19372810.65,19995.69542,4981.201357,104657.7203,495614.7468
2019,9,LTARPON,1,NPS,Coastal OTB,2056024.998,2047.780131,528.6519699,11107.2623,52599.30154
2019,10,LTARPON,1,NPS,Coastal OTB,2539673.513,2537.484897,653.009281,13720.07631,64972.48481
2019,11,LTARPON,1,NPS,Coastal OTB,860488.668,795.8450199,215.605133,4415.480661,20520.43635
2019,12,LTARPON,1,NPS,Coastal OTB,3503359.884,3224.544896,877.8063001,17977.01515,83546.10138
2020,1,LTARPON,1,NPS,Coastal OTB,1608986.896,1559.51148,403.1497993,8256.2976,38370.18942
2020,2,LTARPON,1,NPS,Coastal OTB,1450787.536,1335.238042,363.5111668,7444.519082,34597.54252
2020,3,LTARPON,1,NPS,Coastal OTB,167745.7487,181.7855029,42.03058773,860.7645129,4000.303647
2020,4,LTARPON,1,NPS,Coastal OTB,31856.178,36.58201148,7.981924401,163.4656482,759.6877183
2020,5,LTARPON,1,NPS,Coastal OTB,70485.84232,75.0359959,17.66102213,361.688521,1680.905623
