"yr","date","Latitude","Longitude","pyro","doy","pyrocat"
2013,2013-02-15,27.972,-82.673,NA,46,NA
2013,2013-02-15,27.98,-82.62,NA,46,NA
2013,2013-02-15,27.942,-82.577,NA,46,NA
2013,2013-02-15,27.957,-82.622,NA,46,NA
2013,2013-02-15,27.942,-82.675,NA,46,NA
2013,2013-02-15,27.9055,-82.6046,NA,46,NA
2013,2013-02-15,27.9244,-82.5496,NA,46,NA
2013,2013-02-15,27.86111,-82.58911,NA,46,NA
2013,2013-02-15,27.7723,-82.5789,NA,46,NA
2013,2013-02-28,28.02,-82.675,NA,59,NA
2013,2013-02-28,27.972,-82.673,NA,59,NA
2013,2013-02-28,27.98,-82.62,333,59,"No bloom"
2013,2013-02-28,27.942,-82.577,NA,59,NA
2013,2013-02-28,27.957,-82.622,NA,59,NA
2013,2013-02-28,27.942,-82.675,1000,59,"No bloom"
2013,2013-02-28,27.9055,-82.6046,333,59,"No bloom"
2013,2013-02-28,27.9244,-82.5496,NA,59,NA
2013,2013-02-28,27.86111,-82.58911,NA,59,NA
2013,2013-02-28,27.7723,-82.5789,NA,59,NA
2013,2013-03-15,28.02,-82.675,NA,74,NA
2013,2013-03-15,27.972,-82.673,NA,74,NA
2013,2013-03-15,27.98,-82.62,667,74,"No bloom"
2013,2013-03-15,27.942,-82.577,NA,74,NA
2013,2013-03-15,27.957,-82.622,NA,74,NA
2013,2013-03-15,27.942,-82.675,NA,74,NA
2013,2013-03-15,27.9055,-82.6046,667,74,"No bloom"
2013,2013-03-15,27.9244,-82.5496,NA,74,NA
2013,2013-03-15,27.86111,-82.58911,NA,74,NA
2013,2013-03-15,27.7723,-82.5789,NA,74,NA
2013,2013-03-22,28.02,-82.675,NA,81,NA
2013,2013-03-22,27.972,-82.673,333,81,"No bloom"
2013,2013-03-22,27.98,-82.62,333,81,"No bloom"
2013,2013-03-22,27.942,-82.577,333,81,"No bloom"
2013,2013-03-22,27.957,-82.622,NA,81,NA
2013,2013-03-22,27.942,-82.675,NA,81,NA
2013,2013-03-22,27.9055,-82.6046,333,81,"No bloom"
2013,2013-03-22,27.9244,-82.5496,NA,81,NA
2013,2013-03-22,27.86111,-82.58911,NA,81,NA
2013,2013-03-22,27.7723,-82.5789,NA,81,NA
2013,2013-04-02,28.02,-82.675,NA,92,NA
2013,2013-04-02,27.972,-82.673,NA,92,NA
2013,2013-04-02,27.98,-82.62,NA,92,NA
2013,2013-04-02,27.942,-82.577,NA,92,NA
2013,2013-04-02,27.957,-82.622,NA,92,NA
2013,2013-04-02,27.942,-82.675,NA,92,NA
2013,2013-04-02,27.9055,-82.6046,NA,92,NA
2013,2013-04-02,27.9244,-82.5496,333,92,"No bloom"
2013,2013-04-02,27.86111,-82.58911,NA,92,NA
2013,2013-04-02,27.7723,-82.5789,NA,92,NA
2013,2013-04-09,28.02,-82.675,333,99,"No bloom"
2013,2013-04-09,27.972,-82.673,NA,99,NA
2013,2013-04-09,27.98,-82.62,NA,99,NA
2013,2013-04-09,27.942,-82.577,NA,99,NA
2013,2013-04-09,27.957,-82.622,NA,99,NA
2013,2013-04-09,27.942,-82.675,NA,99,NA
2013,2013-04-09,27.9055,-82.6046,NA,99,NA
2013,2013-04-09,27.9244,-82.5496,NA,99,NA
2013,2013-04-09,27.86111,-82.58911,NA,99,NA
2013,2013-04-09,27.7723,-82.5789,NA,99,NA
2013,2013-04-25,28.02,-82.675,NA,115,NA
2013,2013-04-25,27.972,-82.673,NA,115,NA
2013,2013-04-25,27.98,-82.62,NA,115,NA
2013,2013-04-25,27.942,-82.577,NA,115,NA
2013,2013-04-25,27.957,-82.622,2300,115,"No bloom"
2013,2013-04-25,27.942,-82.675,NA,115,NA
2013,2013-04-25,27.9055,-82.6046,NA,115,NA
2013,2013-04-25,27.9244,-82.5496,333,115,"No bloom"
2013,2013-04-25,27.86111,-82.58911,NA,115,NA
2013,2013-04-25,27.7723,-82.5789,NA,115,NA
2013,2013-05-03,28.02,-82.675,NA,123,NA
2013,2013-05-03,27.972,-82.673,NA,123,NA
2013,2013-05-03,27.98,-82.62,NA,123,NA
2013,2013-05-03,27.942,-82.577,NA,123,NA
2013,2013-05-03,27.957,-82.622,NA,123,NA
2013,2013-05-03,27.942,-82.675,NA,123,NA
2013,2013-05-03,27.9055,-82.6046,NA,123,NA
2013,2013-05-03,27.9244,-82.5496,NA,123,NA
2013,2013-05-03,27.86111,-82.58911,333,123,"No bloom"
2013,2013-05-03,27.7723,-82.5789,NA,123,NA
2013,2013-05-09,27.972,-82.673,1000,129,"No bloom"
