year,month,bay_segment,hy_load_106_m3_mo
1990,2,Hillsborough Bay,52.69571659
1990,3,Hillsborough Bay,35.18022167
1990,4,Hillsborough Bay,29.2378113
1990,5,Hillsborough Bay,26.40030697
1990,6,Hillsborough Bay,47.77825134
1990,7,Hillsborough Bay,87.15515274
1990,8,Hillsborough Bay,75.21659277
1990,9,Hillsborough Bay,48.76687842
1990,10,Hillsborough Bay,46.94982704
1990,11,Hillsborough Bay,27.07507258
1990,12,Hillsborough Bay,22.57002973
1991,1,Hillsborough Bay,32.09127043
1991,2,Hillsborough Bay,23.91360056
1991,3,Hillsborough Bay,42.26607521
1991,4,Hillsborough Bay,37.55872463
1991,5,Hillsborough Bay,68.23054873
1991,6,Hillsborough Bay,76.25023179
1991,7,Hillsborough Bay,284.8532259
1991,8,Hillsborough Bay,182.3622062
1991,9,Hillsborough Bay,71.33760745
1991,10,Hillsborough Bay,49.58075394
1991,11,Hillsborough Bay,36.78584157
1991,12,Hillsborough Bay,34.25157015
1992,1,Hillsborough Bay,27.53283544
1992,2,Hillsborough Bay,48.96418685
1992,3,Hillsborough Bay,32.52467368
1992,4,Hillsborough Bay,35.5320774
1992,5,Hillsborough Bay,20.50541113
1992,6,Hillsborough Bay,81.96509062
1992,7,Hillsborough Bay,63.42158327
1992,8,Hillsborough Bay,120.0849979
1992,9,Hillsborough Bay,109.3207182
1992,10,Hillsborough Bay,83.58569566
1992,11,Hillsborough Bay,36.99272605
1992,12,Hillsborough Bay,30.31472011
1993,1,Hillsborough Bay,67.88003676
1993,2,Hillsborough Bay,54.06804402
1993,3,Hillsborough Bay,86.26536103
1993,4,Hillsborough Bay,74.9771968
1993,5,Hillsborough Bay,33.65426682
1993,6,Hillsborough Bay,36.50777734
1993,7,Hillsborough Bay,47.91541761
1993,8,Hillsborough Bay,66.22933128
1993,9,Hillsborough Bay,140.3574764
1993,10,Hillsborough Bay,64.39792326
1993,11,Hillsborough Bay,35.34639169
1993,12,Hillsborough Bay,30.24594793
1994,1,Hillsborough Bay,51.14293478
1994,2,Hillsborough Bay,33.70741195
1994,3,Hillsborough Bay,33.14531084
1994,4,Hillsborough Bay,34.47314289
1994,5,Hillsborough Bay,24.20255562
1994,6,Hillsborough Bay,80.36481533
1994,7,Hillsborough Bay,120.5069264
1994,8,Hillsborough Bay,221.2038675
1994,9,Hillsborough Bay,335.4090157
1994,10,Hillsborough Bay,83.39868482
1994,11,Hillsborough Bay,60.34105711
1994,12,Hillsborough Bay,55.49114144
1995,1,Hillsborough Bay,87.02371096
1995,2,Hillsborough Bay,68.37354315
1995,3,Hillsborough Bay,50.56468153
1995,4,Hillsborough Bay,52.49090423
1995,5,Hillsborough Bay,36.86955218
1995,6,Hillsborough Bay,102.8858805
